千牛商品ID,商品名称,商品状态,日报条数,支付金额,建议
970286397535,LENNEA小香风白色外套女秋冬2025新款深秋初冬高级短款羊毛感上衣,当前在线,2,4992.00,人工对应款式
959252941279,LENNEA波点花边袖黑色长袖针织开衫女百搭修身打底衫早秋上衣,当前在线,1,1184.00,人工对应款式（万相台也有 1672.86 花费挂这个ID）
728037000377,LENNEA藏青色原创秋冬无领女正肩修身短款小香风学院夹克外套春季,当前在线,2,355.00,人工对应款式
1007371530025,LENNEA 复古风立领短款风衣女春季双排扣设计感长袖休闲外套宽松,当前在线,2,297.00,人工对应款式
1083474892716,LENNEA学院风绞花毛衣女宽松慵懒风不对称翻领针织衫黑色开衫外套,当前在线,1,278.00,人工对应款式
988564242366,【秋冬合集】LENNEA双十一惊喜福袋粉丝福利抢购秋冬款上衣外套,当前在线,1,127.00,建议不映射：福袋合集不对应单个款式
728377574604,LENNEA  春秋冬女上衣短款高腰长袖正装白色打底通勤学生衬衫,当前在线,2,117.00,人工对应款式
728384130048,LENNEA 23/AW 春秋女士牛仔百搭毛边常规宽松学院通勤小,已下架,1,0.00,已下架且无销售，可不处理
750458195077,补差价专用,当前在线,1,0.00,建议不映射：补差价链接不对应款式
728030472469,LENNEA 原创秋冬女长袖通勤宽松宽松高腰学生设计条纹衬衫春,当前在线,2,0.00,无销售，可延后
969613018510,LENNEA波点拼接假两件套头针织衫毛衣秋冬宽松甜美慵懒风软糯上,当前在线,2,0.00,无销售，可延后
1008946372898,LENNEA 1月10日20点上新 一字肩浮雕花束卫衣女宽松长袖,已下架,1,0.00,已下架且无销售，可不处理
970292825766,LENNEA多巴胺黄色基础连帽羊羔毛秋冬棉服纽扣毛茸保暖外套上衣,已下架,1,0.00,已下架且无销售，可不处理
1008197333492,LENNEA  2026年春季千金风一字肩针织连衣裙女蓝色系腰带,当前在线,2,0.00,无销售，可延后
